ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2004;6;RN;Resid;713730;73742.1
2004;6;PB;Resid;831406;69427.2
2004;6;AL;Resid;581392;54880
2004;6;SE;Resid;474657;42832.1
2004;6;BA;Resid;3073834;265517.5
2004;6;MG;Resid;5100084;569760.7
2004;6;ES;Resid;816526;97920
2004;6;RJ;Resid;4984685;726377.4
2004;6;SP;Resid;11672620;2039384.4
2004;6;PR;Resid;2539584;380972.4
2004;6;SC;Resid;1510579;249890.5
2004;6;RS;Resid;2778318;425987.2
2004;6;MS;Resid;545329;71126.9
2004;6;MT;Resid;584717;87134.9
2004;6;GO;Resid;1548311;196116
2004;6;DF;Resid;593779;111981
2004;7;RO;Resid;264202;40586
2004;7;AC;Resid;106638;14831.9
2004;7;AM;Resid;488308;78969
2004;7;RR;Resid;67269;13255.6
2004;7;PA;Resid;1084988;135724.4
2004;7;AP;Resid;103960;19440
2004;7;TO;Resid;238746;25616.2
2004;7;MA;Resid;994375;84032.4
2004;7;PI;Resid;589634;49524.2
2004;7;CE;Resid;1845106;148023
2004;7;RN;Resid;715670;70563.1
2004;7;PB;Resid;820892;68034.2
2004;7;AL;Resid;583874;50870
2004;7;SE;Resid;475650;42244.5
2004;7;BA;Resid;3085239;263190.4
2004;7;MG;Resid;5113014;552881.6
2004;7;ES;Resid;816787;95661.9
2004;7;RJ;Resid;4997147;742365.8
2004;7;SP;Resid;11724169;2066713.3
2004;7;PR;Resid;2536794;374401.9
2004;7;SC;Resid;1514930;252993.3
2004;7;RS;Resid;2781970;439309.6
2004;7;MS;Resid;546080;70142.4
2004;7;MT;Resid;586988;92385.5
2004;7;GO;Resid;1552995;185934
2004;7;DF;Resid;595602;122077
2004;8;RO;Resid;264855;39354
2004;8;AC;Resid;107134;14965.9
2004;8;AM;Resid;489160;79171.5
2004;8;RR;Resid;67298;12645.4
2004;8;PA;Resid;1174624;146423.1
2004;8;AP;Resid;104197;19717
2004;8;TO;Resid;240055;26559.5
2004;8;MA;Resid;998113;87593
2004;8;PI;Resid;591536;50770
2004;8;CE;Resid;1851087;164163.7
2004;8;RN;Resid;717845;69621.9
2004;8;PB;Resid;831829;65567.9
2004;8;AL;Resid;585357;47564
2004;8;SE;Resid;476955;40125.6
2004;8;BA;Resid;3098064;247536.5
2004;8;MG;Resid;5119867;556685.8
