ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2004;12;AM;Total;;321545.4
2004;12;RR;Total;;34181.8
2004;12;PA;Total;;1110612.5
2004;12;AP;Total;;46518
2004;12;TO;Total;;74505.1
2004;12;MA;Total;;757937.8
2004;12;PI;Total;;132442
2004;12;CE;Total;;575617.6
2004;12;RN;Total;;300457.8
2004;12;PB;Total;;258616.5
2004;12;PE;Total;;730310.7
2004;12;AL;Total;;296464
2004;12;SE;Total;;214853.8
2004;12;BA;Total;;1503809.7
2004;12;MG;Total;;3914811.7
2004;12;ES;Total;;614381.2
2004;12;RJ;Total;;2677810.9
2004;12;SP;Total;;8543644.1
2004;12;PR;Total;;1683515.1
2004;12;SC;Total;;1221422.9
2004;12;RS;Total;;1760276.3
2004;12;MS;Total;;286730.5
2004;12;MT;Total;;344088.3
2004;12;GO;Total;;658675.7
2004;12;DF;Total;;345619
2005;1;RO;Total;;116926
2005;1;AC;Total;;36639
2005;1;AM;Total;;299782.7
2005;1;RR;Total;;32339.6
2005;1;PA;Total;;1083695.2
2005;1;AP;Total;;46518
2005;1;TO;Total;;71638
2005;1;MA;Total;;756950.3
2005;1;PI;Total;;136669
2005;1;CE;Total;;563304
2005;1;RN;Total;;286725.7
2005;1;PB;Total;;261435.7
2005;1;PE;Total;;728644.5
2005;1;AL;Total;;309966.3
2005;1;SE;Total;;210817.9
2005;1;BA;Total;;1520662.5
2005;1;MG;Total;;3824588.2
2005;1;ES;Total;;631196.9
2005;1;RJ;Total;;2757857.9
2005;1;SP;Total;;8304845.3
2005;1;PR;Total;;1636130.8
2005;1;SC;Total;;1214278.9
2005;1;RS;Total;;1959006.5
2005;1;MS;Total;;284291.2
2005;1;MT;Total;;311955.9
2005;1;GO;Total;;651985.9
2005;1;DF;Total;;336585.5
2005;2;RO;Total;;109653
2005;2;AC;Total;;35531.8
2005;2;AM;Total;;289645.3
2005;2;RR;Total;;31152.7
2005;2;PA;Total;;1035911.6
2005;2;AP;Total;;46420
2005;2;TO;Total;;70809.9
2005;2;MA;Total;;698107.2
2005;2;PI;Total;;125819
2005;2;CE;Total;;544337.1
2005;2;RN;Total;;281224.4
2005;2;PB;Total;;246418.3
2005;2;PE;Total;;687891.6
2005;2;AL;Total;;299491.2
2005;2;SE;Total;;200082.3
2005;2;BA;Total;;1442667
2005;2;MG;Total;;3749508.5
2005;2;ES;Total;;598997.2
2005;2;RJ;Total;;2588172.2
2005;2;SP;Total;;8220377
2005;2;PR;Total;;1673422.7
2005;2;SC;Total;;1294827.8
2005;2;RS;Total;;1998335.4
2005;2;MS;Total;;267509
2005;2;MT;Total;;332028.4
2005;2;GO;Total;;646489.6
2005;2;DF;Total;;323650.8
2005;3;RO;Total;;116662
2005;3;AC;Total;;37499.7
2005;3;AM;Total;;289247
2005;3;RR;Total;;30294.3
2005;3;PA;Total;;1076644
2005;3;AP;Total;;46502
2005;3;TO;Total;;72748.5
2005;3;MA;Total;;755229.7
2005;3;PI;Total;;120198
2005;3;CE;Total;;559221.1
2005;3;RN;Total;;284825.7
2005;3;PB;Total;;260803.8
2005;3;PE;Total;;752498
2005;3;AL;Total;;305007
2005;3;SE;Total;;215087.2
2005;3;BA;Total;;1439330.9
2005;3;MG;Total;;3686301.9
2005;3;ES;Total;;638275.4
2005;3;RJ;Total;;2658664
2005;3;SP;Total;;8533406.6
2005;3;PR;Total;;1723700.1
2005;3;SC;Total;;1321788.7
2005;3;RS;Total;;2024384.4
2005;3;MS;Total;;300899.3
2005;3;MT;Total;;370910.3
2005;3;GO;Total;;650791.2
2005;3;DF;Total;;327710.6
2005;4;RO;Total;;115809
2005;4;AC;Total;;34285.9
2005;4;AM;Total;;296436.2
2005;4;RR;Total;;32622.7
2005;4;PA;Total;;1051344.8
2005;4;AP;Total;;46488
2005;4;TO;Total;;74900
2005;4;MA;Total;;723070.8
2005;4;PI;Total;;122269
2005;4;CE;Total;;550633.4
2005;4;RN;Total;;289515.5
2005;4;PB;Total;;262054.2
2005;4;PE;Total;;724658.1
2005;4;AL;Total;;309318.6
2005;4;SE;Total;;215037.4
2005;4;BA;Total;;1478858.5
2005;4;MG;Total;;3952141.1
2005;4;ES;Total;;634949.1
2005;4;RJ;Total;;2854588.5
2005;4;SP;Total;;8862728.8
2005;4;PR;Total;;1791901
2005;4;SC;Total;;1325592
2005;4;RS;Total;;1879515.2
2005;4;MS;Total;;307086
2005;4;MT;Total;;376985.1
2005;4;GO;Total;;706733.1
2005;4;DF;Total;;335980
2005;5;RO;Total;;117752
2005;5;AC;Total;;34663.8
2005;5;AM;Total;;297431.2
2005;5;RR;Total;;30139.3
2005;5;PA;Total;;1088058.3
2005;5;AP;Total;;44046.3
2005;5;TO;Total;;77317.7
2005;5;MA;Total;;761257.9
2005;5;PI;Total;;127469
2005;5;CE;Total;;559737.6
2005;5;RN;Total;;294997.7
2005;5;PB;Total;;256928.2
2005;5;PE;Total;;708030.1
2005;5;AL;Total;;302801
2005;5;SE;Total;;207359.4
2005;5;BA;Total;;1520019.8
2005;5;MG;Total;;3770817.4
2005;5;ES;Total;;629676.3
2005;5;RJ;Total;;2668163.2
2005;5;SP;Total;;8513306.5
2005;5;PR;Total;;1712425.7
2005;5;SC;Total;;1263147.6
2005;5;RS;Total;;1824247.3
2005;5;MS;Total;;290130.1
2005;5;MT;Total;;366865.7
2005;5;GO;Total;;692305.1
2005;5;DF;Total;;323056.4
2005;6;RO;Total;;119882
2005;6;AC;Total;;38933.6
2005;6;AM;Total;;310960.8
2005;6;RR;Total;;29714.1
2005;6;PA;Total;;1070249
2005;6;AP;Total;;44513
2005;6;TO;Total;;78035.6
2005;6;MA;Total;;762777
2005;6;PI;Total;;130358
2005;6;CE;Total;;546498.7
2005;6;RN;Total;;275820.2
2005;6;PB;Total;;245076.9
2005;6;PE;Total;;667440
2005;6;AL;Total;;289531.8
2005;6;SE;Total;;210641
2005;6;BA;Total;;1447071.1
2005;6;MG;Total;;3717822.1
2005;6;ES;Total;;628663.9
2005;6;RJ;Total;;2640653.2
2005;6;SP;Total;;8646727.8
2005;6;PR;Total;;1698767.1
2005;6;SC;Total;;1253765.3
2005;6;RS;Total;;1807791.4
2005;6;MS;Total;;269369.3
2005;6;MT;Total;;369295.5
2005;6;GO;Total;;687207.5
2005;6;DF;Total;;338616
2005;7;RO;Total;;123359
2005;7;AC;Total;;37976.6
2005;7;AM;Total;;317580.8
2005;7;RR;Total;;29958.3
2005;7;PA;Total;;1086133.8
2005;7;AP;Total;;44573
2005;7;TO;Total;;79336.2
2005;7;MA;Total;;769694.3
2005;7;PI;Total;;132847
2005;7;CE;Total;;549962.3
2005;7;RN;Total;;292472.3
2005;7;PB;Total;;247285.5
2005;7;PE;Total;;646352.4
2005;7;AL;Total;;290315.1
2005;7;SE;Total;;200148.5
2005;7;BA;Total;;1514701
2005;7;MG;Total;;3711710
2005;7;ES;Total;;622957.5
2005;7;RJ;Total;;2544681.6
2005;7;SP;Total;;8629769.3
2005;7;PR;Total;;1666263.5
2005;7;SC;Total;;1254671.2
2005;7;RS;Total;;1803627.3
2005;7;MS;Total;;260204.4
2005;7;MT;Total;;371866.7
2005;7;GO;Total;;751589.8
2005;7;DF;Total;;342279.5
2005;8;RO;Total;;115911
2005;8;AC;Total;;36379.9
2005;8;AM;Total;;322776
2005;8;RR;Total;;29800.8
2005;8;PA;Total;;1093866.2
2005;8;AP;Total;;43866
2005;8;TO;Total;;82857.4
2005;8;MA;Total;;786400.8
2005;8;PI;Total;;131931
2005;8;CE;Total;;582136
2005;8;RN;Total;;292479.2
2005;8;PB;Total;;254729.3
2005;8;PE;Total;;682357.9
2005;8;AL;Total;;308549.4
2005;8;SE;Total;;199759.6
2005;8;BA;Total;;1501307.3
2005;8;MG;Total;;3919031.5
2005;8;ES;Total;;636703.6
